slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,1,0,1,0,0,0,-1,0
1,0,-1,-1,1,1,2,0,0,0.005
2,0,-1,-1,-1,-1,0,-1,-1,0.01
3,-2,-1,-2,-3,-2,-2,-3,-1,0.015
4,-1,-1,2,0,-2,-2,1,-1,0.02
5,-1,-1,-1,-1,1,1,1,-1,0.025
6,0,-1,-2,-2,0,0,-1,-1,0.03
7,-2,0,-2,0,-1,-1,0,-1,0.035
8,0,1,-3,-1,-1,-1,-1,1,0.04
9,1,0,0,-1,-1,-1,1,0,0.045
10,-2,-1,0,-1,-2,0,0,-1,0.05
11,-2,-1,-2,-2,-1,-2,-3,0,0.055
12,-3,-3,0,-2,0,0,-1,4,0.06
13,4,0,3,2,0,-1,1,-8,0.065
14,2,-1,0,-2,-2,-2,-1,0,0.07
15,1,-3,-1,-3,-1,-1,0,-3,0.075
16,-1,1,-1,0,-2,0,-2,1,0.08
17,-2,0,0,1,-1,2,0,4,0.085
18,4,-1,1,0,0,1,1,1,0.09
19,-11,-2,-2,-2,-2,-2,-3,-5,0.095
20,0,-1,1,0,0,-1,0,0,0.1
21,0,0,-1,-2,-2,-2,-2,-1,0.105
22,0,0,-2,-2,-1,-1,-2,-1,0.11
23,0,1,-1,1,1,-1,0,0,0.115
24,-1,0,0,0,-1,-1,-1,-1,0.12
25,-1,-2,-1,-1,-2,-3,-2,-1,0.125
26,-1,0,-1,-2,-1,-3,-1,0,0.13
27,1,0,0,0,0,0,0,3,0.135
28,2,-1,0,1,0,1,0,0,0.14
29,-2,-2,-3,-1,-2,-3,-2,-2,0.145
30,-2,-2,-2,-2,-1,-1,-2,-3,0.15
31,-1,-2,-1,1,1,0,1,-1,0.155
32,0,0,0,-1,1,1,-1,2,0.16
33,-2,-2,-1,-2,-1,0,-1,7,0.165
34,-3,0,0,-2,-2,-1,-1,-16,0.17
35,1,0,1,0,0,0,0,-1,0.175
36,0,-1,-2,0,0,0,1,0,0.18
37,-1,0,-2,0,-1,0,0,-2,0.185
38,-3,-1,-1,-2,0,-1,-1,1,0.19
39,-2,-2,1,-2,0,0,-1,-2,0.195
40,5,0,1,-1,-1,-1,-3,-2,0.2
41,-2,-1,-1,-2,-2,-3,-1,-3,0.205
42,-1,-4,-1,-1,-1,-1,-1,1,0.21
43,0,1,-1,-1,1,1,0,0,0.215
44,-1,-1,-1,0,0,0,-1,1,0.22
45,-1,-1,0,-1,-2,-2,-1,-2,0.225
46,-1,-1,-1,-1,-1,-2,0,2,0.23
47,0,-1,0,-2,-2,-1,-1,1,0.235
48,-2,1,-1,1,0,0,0,-1,0.24
49,-1,1,-1,-2,-3,-1,-1,-4,0.245
50,-2,1,-2,-2,-2,-2,-1,0,0.25
51,1,-1,-2,1,0,1,-1,1,0.255
52,-2,-2,-3,0,-1,-1,0,1,0.26
53,-2,-1,-1,-1,-2,-2,-1,0,0.265
54,-8,-5,-3,0,-1,0,-2,-3,0.27
55,3,0,0,-1,0,-1,1,-2,0.275
56,2,-1,1,1,-1,-1,-1,0,0.28
57,-3,-1,-3,-2,-2,0,1,5,0.285
58,-3,0,0,-1,0,-2,-2,-9,0.29
59,-1,-2,-1,0,-1,-2,-2,1,0.295
60,6,2,1,0,1,-1,0,-1,0.3
61,1,0,-2,-2,-2,1,-2,-3,0.305
62,4,0,1,0,-2,-1,1,5,0.31
63,-1,-1,-2,0,-1,-1,-1,-1,0.315
64,-6,-1,0,-2,1,-1,-2,-1,0.32
65,6,0,0,-2,-2,-3,-3,-1,0.325
66,2,0,-4,-3,1,1,-1,1,0.33
67,-4,-1,-1,0,1,1,1,-1,0.335
68,6,0,-1,-1,0,0,1,1,0.34
69,-1,-1,-2,1,0,0,-1,-3,0.345
70,-1,0,0,0,-2,0,0,1,0.35
71,1,0,-1,-1,-2,-1,0,-2,0.355
72,-5,-1,-1,-2,-2,-1,0,-2,0.36
73,-1,-2,-1,-1,-1,-1,0,-3,0.365
74,-3,0,-1,0,0,-1,1,1,0.37
75,-1,1,-1,-1,-2,0,-2,1,0.375
76,-1,-1,-2,1,0,0,-1,-2,0.38
77,-2,-1,1,1,1,-3,-1,-1,0.385
78,6,0,-1,-1,-1,-1,-1,0,0.39
79,-1,-1,0,-1,0,-1,-1,-2,0.395
80,-3,-1,-2,-2,-2,-2,-1,-3,0.4
81,0,-1,-1,-1,0,0,0,0,0.405
82,-2,-1,-1,-1,-2,-1,-1,1,0.41
83,-2,-1,-1,0,-2,-1,-1,-1,0.415
84,-3,-1,1,-1,-2,-3,-2,-2,0.42
85,0,-1,0,0,-1,2,1,-1,0.425
86,-1,-1,-1,-1,-2,0,-1,1,0.43
87,-2,-1,-2,-1,-2,0,0,-2,0.435
88,0,-1,-3,-1,-1,0,0,0,0.44
89,-2,-2,-1,-1,0,-2,0,-1,0.445
90,-1,0,0,0,-1,0,0,-1,0.45
91,-2,-1,0,-2,-1,-1,1,6,0.455
92,-4,-1,-2,-1,-1,-1,-1,-11,0.46
93,-2,-1,-4,-2,-1,-2,-1,-2,0.465
94,2,0,-2,0,-1,-1,-1,0,0.47
95,4,0,0,0,1,1,-1,-1,0.475
96,-2,-2,-2,-1,0,0,0,2,0.48
97,-1,0,0,-1,0,-2,0,-2,0.485
98,0,0,0,-1,-1,-1,-1,-1,0.49
99,-6,0,-1,0,-1,-2,-1,0,0.495
100,12,0,-1,0,-1,0,-2,1,0.5
101,-5,1,1,1,1,1,-1,-2,0.505
102,-2,-1,0,-1,0,0,-1,0,0.51
103,3,-1,-1,-1,-1,0,0,-1,0.515
104,-4,0,0,0,0,1,-1,2,0.52
105,3,0,-1,0,1,-1,-3,-1,0.525
106,-1,-1,-2,-3,1,0,-1,-1,0.53
107,-1,-1,-1,-2,-1,-2,-2,-1,0.535
108,-3,-2,-2,-1,-1,-2,-1,-2,0.54
109,-1,1,0,1,-3,0,-2,1,0.545
110,-2,0,-1,1,-1,0,0,0,0.55
111,-1,0,-1,0,1,0,-1,-3,0.555
112,-3,-1,-2,1,-2,-1,-1,2,0.56
113,0,-1,0,-2,-1,0,-2,-2,0.565
114,2,-2,-1,-1,-1,-2,-2,-2,0.57
115,0,0,0,-1,0,-1,0,-1,0.575
116,0,0,-1,0,0,0,-1,0,0.58
117,-1,-2,-3,-1,-1,-1,0,0,0.585
118,0,0,0,0,-1,-1,0,-1,0.59
119,-1,-2,-1,-1,0,0,-3,-1,0.595
120,-3,0,-1,-2,-2,-1,0,-3,0.6
121,0,-2,-1,-2,-1,0,0,-2,0.605
122,-2,-2,-1,0,0,-1,-2,2,0.61
123,-3,-1,0,0,-1,-1,0,-3,0.615
124,3,-1,-1,-1,-1,-2,-1,0,0.62
125,0,-2,1,-1,-1,-1,-1,2,0.625
126,-1,0,0,1,-1,-1,0,0,0.63
127,-2,-1,-1,-2,-1,-1,0,2,0.635
128,-3,-1,-2,-2,0,-2,0,-1,0.64
129,1,1,-3,-1,-1,-3,-2,-3,0.645
130,-6,-2,-2,0,0,-1,-2,1,0.65
131,4,3,0,-1,-1,0,-2,1,0.655
132,-12,-5,0,0,-2,-1,0,-5,0.66
133,0,-2,-2,0,-2,0,-2,-3,0.665
134,1,-2,-1,-3,-1,-1,0,-2,0.67
135,-3,1,-1,-1,-2,-1,-2,-3,0.675
136,0,-2,-1,-1,-1,-2,-1,-1,0.68
137,0,0,1,1,0,-1,1,0,0.685
138,-3,-1,-1,0,-1,-1,0,-2,0.69
139,0,1,-1,-2,-1,-1,-1,-2,0.695
140,0,0,0,-2,0,-1,-1,1,0.7
141,-2,-1,0,-2,0,-1,-1,-1,0.705
142,2,-1,-1,0,0,-1,-1,-1,0.71
143,1,-2,0,-1,-1,-1,0,0,0.715
144,-3,-2,-1,-1,-1,-2,-1,0,0.72
145,-1,-1,-2,-4,-2,-1,-1,-1,0.725
146,7,0,0,1,0,0,1,-1,0.73
147,-4,-1,0,1,-1,0,-2,-3,0.735
148,4,1,0,-1,-2,-1,0,-1,0.74
149,-2,0,-2,-2,-2,-1,0,0,0.745
150,-2,0,-2,-1,-2,0,-1,-1,0.75
151,-2,-2,-1,1,0,0,-1,3,0.755
152,-2,0,-1,-2,0,0,-1,0,0.76
153,-1,-1,0,1,-1,0,0,-3,0.765
154,-1,0,-2,-2,0,0,-1,1,0.77
155,-1,-2,-1,-2,0,-1,0,-2,0.775
156,0,-3,-1,-1,0,-1,-1,1,0.78
157,-3,1,-1,-1,0,-2,-1,0,0.785
158,-4,-1,0,-1,-1,0,-1,-1,0.79
159,1,-1,0,-1,1,0,-1,-1,0.795
160,1,-2,-1,-2,-1,0,0,-1,0.8
161,-1,-3,-1,-2,-3,-1,-1,-1,0.805
162,-1,-3,-1,0,-1,-1,-1,0,0.81
163,-1,0,-1,0,-1,-2,0,-2,0.815
164,1,1,0,-1,0,-2,1,2,0.82
165,-2,0,0,0,-1,-1,-1,-1,0.825
166,-1,-1,-1,-1,1,0,0,-2,0.83
167,2,0,-1,-1,-2,0,-1,-2,0.835
168,-1,-1,-2,-1,-1,-1,-1,-3,0.84
169,0,0,-1,-1,-2,-1,-1,-1,0.845
170,-1,-1,1,0,-1,-1,0,0,0.85
171,0,-1,0,-1,1,0,0,2,0.855
172,-1,0,0,0,0,0,0,-1,0.86
173,-1,-2,-3,-2,-2,-2,-1,0,0.865
174,-2,-1,0,-1,-1,-1,-1,4,0.87
175,-3,0,0,0,-3,-1,-1,-10,0.875
176,-3,-1,0,0,-2,0,-2,-1,0.88
177,1,0,0,0,1,1,0,0,0.885
178,-1,-2,-1,-1,-1,0,0,-3,0.89
179,-1,-1,0,-2,-1,-1,0,3,0.895
180,0,-2,0,-1,-1,-1,0,-2,0.9
181,0,0,-2,-1,1,0,1,-3,0.905
182,-2,-1,-1,-1,-1,0,0,-2,0.91
183,0,-1,-1,-2,-1,-1,0,1,0.915
184,-2,-1,-2,0,-1,-1,-2,-2,0.92
185,4,0,-1,0,-1,0,-3,3,0.925
186,-10,-3,-3,-1,-1,-1,0,-6,0.93
187,0,-1,-1,1,-1,-1,-1,1,0.935
188,-1,1,0,-1,-1,-2,0,-1,0.94
189,-5,-2,0,-2,-2,-3,0,-2,0.945
190,5,3,0,0,-1,0,-1,-1,0.95
191,2,-1,0,0,-1,-1,1,0,0.955
192,-4,-2,-2,0,-1,-1,-2,-1,0.96
193,0,-1,-1,0,-1,-1,-2,0,0.965
194,0,-1,-1,-1,0,-1,-1,0,0.97
195,-2,-1,-2,-1,-1,0,0,0,0.975
196,3,0,-1,-2,0,-1,0,0,0.98
197,-3,-1,1,-1,0,-2,-1,0,0.985
198,2,-2,-2,-2,-1,1,-1,0,0.99
199,2,0,1,1,0,-2,0,-1,0.995
200,-3,0,0,-2,-2,1,-1,-2,1
201,0,0,-2,-1,-1,-1,-2,-2,1.005
202,-2,-1,-2,0,-2,-2,-2,3,1.01
203,-1,-1,0,-1,-1,-1,0,0,1.015
204,0,0,-1,-1,-2,-2,-1,-3,1.02
205,0,-3,0,-3,-1,0,-2,0,1.025
206,1,1,-1,0,0,2,0,0,1.03
207,0,-2,-2,-1,0,-1,0,0,1.035
208,0,0,-3,0,-1,-1,0,0,1.04
209,-3,-1,-1,0,-2,-1,0,-3,1.045
210,2,-1,1,-1,-2,-2,-2,-1,1.05
211,3,1,-1,0,-2,0,-1,-1,1.055
212,-2,2,-1,-3,-1,0,0,1,1.06
213,0,2,0,0,0,1,0,-2,1.065
214,-1,-3,-1,0,1,-2,0,-2,1.07
215,-4,-2,0,-1,-1,0,-2,0,1.075
216,-1,-5,-2,1,0,-1,-1,1,1.08
217,0,-1,-3,-2,-3,-1,1,-1,1.085
218,-1,0,0,0,0,-2,-1,-1,1.09
219,-4,-1,0,-2,0,-2,1,3,1.095
220,11,0,-2,-1,0,-1,-1,-1,1.1
221,-5,-2,0,-1,-1,0,-1,4,1.105
222,1,2,0,0,0,-1,-1,-13,1.11
223,-2,-1,-2,-1,-1,0,-1,-1,1.115
224,-1,1,2,-1,-1,-1,-2,-1,1.12
225,0,-2,1,-1,0,0,-1,0,1.125
226,-1,-1,-2,-1,-2,-1,-1,0,1.13
227,3,2,0,-1,0,0,-1,-1,1.135
228,-5,-2,-1,-1,-1,0,0,-1,1.14
229,1,-2,-2,0,2,0,0,-2,1.145
230,-2,0,0,-1,-2,0,0,1,1.15
231,-2,-2,-1,-2,-2,1,-1,-3,1.155
232,0,-1,-1,0,-1,-1,-1,0,1.16
233,-1,1,-1,1,0,-2,0,-4,1.165
234,-1,0,-2,-1,0,-2,-1,1,1.17
235,1,-1,-1,0,-1,-2,0,0,1.175
236,-2,-2,-1,0,-2,-2,-1,-2,1.18
237,-1,-1,-1,-1,-1,-1,-2,-1,1.185
238,0,-1,-1,0,1,-1,-1,2,1.19
239,-3,-2,0,0,-1,0,0,0,1.195
240,-4,-2,-2,0,-3,-1,0,-1,1.2
241,0,-2,-2,-2,-1,-1,0,-3,1.205
242,0,-1,-1,1,-1,-1,1,0,1.21
243,-2,-1,-1,0,1,-1,0,-2,1.215
244,0,-1,-2,-1,-2,-2,-1,1,1.22
245,-3,-1,-1,-1,-1,-1,-1,4,1.225
246,-6,-4,0,-2,1,0,0,-5,1.23
247,-2,0,-1,-1,-2,1,-1,1,1.235
248,0,-1,-1,-1,1,-2,-1,-2,1.24
249,-4,-2,0,-2,-1,-1,0,3,1.245
250,1,0,0,0,-1,0,-1,3,1.25
251,-2,-1,-1,0,-1,-1,-2,-2,1.255
252,-4,0,0,-3,-3,-2,0,0,1.26
253,1,-2,0,1,-1,-1,-2,-3,1.265
254,1,0,0,-2,-2,-2,-1,0,1.27
255,-2,-2,-2,-1,-1,-1,0,-3,1.275
256,2,0,-1,0,0,1,-2,1,1.28
257,0,1,-1,-1,-1,0,0,-2,1.285
258,2,-2,-1,-1,0,2,1,-1,1.29
259,-1,-1,-2,0,-1,-1,0,1,1.295
260,-3,-2,0,0,-3,1,-1,-2,1.3
261,-2,-1,0,0,-1,-2,0,-3,1.305
262,-1,-1,-2,-2,-1,-1,0,0,1.31
263,0,0,0,0,-1,-1,-2,0,1.315
264,-5,-1,1,-1,1,0,2,-1,1.32
265,0,-1,-2,-1,-2,-1,0,-2,1.325
266,6,1,-2,1,-1,-1,-2,1,1.33
267,0,-1,-2,-2,-2,-2,-2,0,1.335
268,0,-2,-2,0,-2,-2,-1,-1,1.34
269,-3,-1,-1,0,-1,0,-1,-1,1.345
270,-3,0,-1,-1,-1,-1,0,-1,1.35
271,0,-1,0,-1,-1,-1,-2,-2,1.355
272,1,-2,-1,-1,0,-2,-2,0,1.36
273,-2,-1,0,0,1,0,-1,4,1.365
274,-3,-1,-1,0,-1,-1,-2,-8,1.37
275,3,-1,0,0,0,2,-1,2,1.375
276,-1,0,-1,-3,-2,-2,-1,0,1.38
277,2,-1,1,-1,-1,-2,0,-3,1.385
278,-3,-1,-1,-1,-1,-1,-1,3,1.39
279,-3,-4,-2,-2,-1,-2,-1,-1,1.395
280,-1,-2,-1,0,0,2,-1,-2,1.4
281,2,-1,-1,-1,-2,0,-1,1,1.405
282,0,0,0,1,-1,-2,-1,0,1.41
283,-2,0,-1,0,-2,1,1,-1,1.415
284,1,-1,-1,-1,-2,-2,-2,-1,1.42
285,-1,-2,-2,-1,-3,-1,-2,-3,1.425
286,0,-2,0,-1,0,0,-2,0,1.43
287,1,1,-1,-1,0,-1,0,-2,1.435
288,-1,-1,0,-1,-1,-1,0,-1,1.44
289,7,-1,-2,1,-1,-1,0,-1,1.445
290,-7,-2,0,-1,-2,-1,-1,-3,1.45
291,0,-2,-1,0,1,0,-1,1,1.455
292,-2,0,-1,-1,-1,0,-1,-1,1.46
293,1,3,0,-2,-1,-2,-2,-1,1.465
294,1,0,0,0,-1,-1,-1,2,1.47
295,0,-1,0,-1,0,-1,0,-2,1.475
296,-2,1,0,1,-1,0,0,-1,1.48
297,-2,-1,0,-1,-1,-1,0,-3,1.485
298,0,-2,-1,-1,-2,0,0,-1,1.49
299,-4,-2,-1,0,-1,-1,1,2,1.495
300,-2,-1,-2,-1,-1,-2,-2,-9,1.5
301,-1,-2,-2,0,0,0,0,1,1.505
302,2,1,0,0,-1,-2,0,1,1.51
303,0,1,-2,0,-1,-2,-2,-2,1.515
304,-2,-1,-1,-2,-1,-1,0,3,1.52
305,1,-1,-1,-2,-1,-1,2,-1,1.525
306,-1,-1,-1,-1,1,0,-1,-2,1.53
307,-1,2,0,-1,-1,-2,1,1,1.535
308,-1,-1,-1,0,-1,-1,0,0,1.54
309,-6,-1,0,-1,-2,-1,-2,-4,1.545
310,3,-1,-1,1,0,0,1,2,1.55
311,0,-1,0,0,-1,0,0,-2,1.555
312,0,-2,-1,-1,1,-3,-2,-1,1.56
313,-1,-2,0,2,-1,-2,0,-1,1.565
314,0,-1,-1,0,0,-1,-1,0,1.57
315,-3,-1,-1,0,-1,-2,-1,-1,1.575
316,2,1,-1,0,-1,-2,-2,-1,1.58
317,-7,0,-2,-2,-2,-1,0,0,1.585
318,-2,-1,-2,-1,0,0,0,1,1.59
319,13,0,-1,-1,0,2,-2,-3,1.595
320,-2,1,0,0,-2,0,1,1,1.6
321,-1,0,-1,0,0,0,-1,-1,1.605
322,-1,-1,0,-1,-1,-1,0,0,1.61
323,-1,-1,0,-1,-1,0,-2,0,1.615
324,0,-2,0,-2,-1,-1,0,-1,1.62
325,0,-1,-1,-1,-1,-1,-1,-1,1.625
