slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,-1,0,0,-1,-1,-1,0,0
1,-1,0,-1,1,5,1,-1,0,0.005
2,-1,-1,-2,1,-3,-2,-1,-1,0.01
3,-2,-1,-2,-1,-3,-2,-2,-2,0.015
4,-1,-1,-2,1,1,1,0,-1,0.02
5,1,0,0,-1,-2,0,2,-1,0.025
6,0,0,-1,-1,0,0,0,-1,0.03
7,2,-1,0,0,1,-1,-1,-1,0.035
8,-2,0,-1,-2,-4,-4,-2,-1,0.04
9,0,-2,0,-1,0,0,-2,-2,0.045
10,-1,0,-1,-2,-3,-3,-1,-1,0.05
11,-1,-1,-3,0,0,0,0,-2,0.055
12,-2,0,-1,-1,1,-1,-2,0,0.06
13,0,-1,1,-1,-4,-6,0,-1,0.065
14,0,-2,1,-1,1,5,0,-1,0.07
15,-1,0,1,0,1,0,1,-1,0.075
16,0,-1,-2,1,-2,-2,-2,-2,0.08
17,-3,0,-2,-1,-1,-3,0,-1,0.085
18,-2,-1,-2,0,-3,-3,-2,0,0.09
19,0,-1,-1,-1,-9,-4,-1,0,0.095
20,0,-1,1,2,14,3,1,-1,0.1
21,-1,0,0,1,0,0,-1,0,0.105
22,-1,0,-1,-1,-4,-3,-1,0,0.11
23,-2,-1,-2,-5,-6,-7,-4,-1,0.115
24,-1,-1,0,1,2,4,1,-1,0.12
25,-1,-1,-1,0,1,2,0,0,0.125
26,-1,0,0,-1,1,0,-1,0,0.13
27,0,0,0,1,0,0,1,-1,0.135
28,-1,-2,-1,-4,-3,-4,-1,-1,0.14
29,-1,-1,-2,-4,-5,-6,-4,-1,0.145
30,0,0,-1,0,1,-1,1,-2,0.15
31,-1,0,-1,0,1,7,0,1,0.155
32,1,0,0,1,0,-2,0,-1,0.16
33,-1,-2,-1,0,-2,-1,-2,-2,0.165
34,1,0,-1,-1,-1,-4,-2,-1,0.17
35,0,-1,-1,-2,-2,-3,-1,0,0.175
36,-1,-1,-1,-1,-5,-2,0,0,0.18
37,-1,-2,0,0,3,1,-1,0,0.185
38,0,-2,0,0,2,3,0,-2,0.19
39,0,-2,1,0,0,1,-1,-2,0.195
