slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,-1,-1,-1,6,-1,-2,0,0
1,-1,0,-1,1,1,1,-1,-1,0.005
2,-3,-2,-2,-1,-1,-3,-2,-1,0.01
3,-2,-1,-2,-3,-4,-9,-4,-1,0.015
4,-1,0,-1,-2,-4,6,0,-1,0.02
5,0,-1,0,1,1,6,2,1,0.025
6,0,0,0,0,8,3,0,0,0.03
7,-1,-1,-2,-1,-6,-4,-1,0,0.035
8,-1,-1,-2,0,3,-4,-2,-2,0.04
9,-1,-1,0,-1,-2,-2,-2,-2,0.045
10,0,-2,-2,-1,-3,0,-2,-2,0.05
11,-1,-1,0,-3,0,-4,-3,-2,0.055
12,0,-2,0,-3,-6,-5,1,-2,0.06
13,-1,0,-1,2,4,9,3,-1,0.065
14,-1,0,-1,0,-2,-4,0,0,0.07
15,-1,-2,0,-1,0,1,-2,-1,0.075
16,-1,0,-1,0,0,-2,-2,1,0.08
17,0,0,-2,-4,-5,-5,-4,-1,0.085
18,-2,-1,0,-3,-7,-1,1,0,0.09
19,1,-1,-1,3,14,1,0,0,0.095
20,0,0,1,5,4,7,-1,0,0.1
21,-1,-1,-1,-2,-1,2,0,-1,0.105
22,1,0,-1,-3,-9,-4,-3,-1,0.11
23,-1,-1,0,0,-1,-2,-1,-2,0.115
24,0,-2,0,-1,-1,-2,0,-1,0.12
25,0,-2,-1,0,0,0,2,0,0.125
26,-2,-2,-1,-1,1,3,2,1,0.13
27,0,1,0,1,0,-1,-2,0,0.135
28,-2,0,0,-1,-2,-1,-1,0,0.14
29,-1,-1,-1,-1,-2,-2,-2,-2,0.145
30,-1,-3,-1,-2,-2,-2,-2,-1,0.15
31,-1,-2,0,0,-3,-2,-1,0,0.155
32,-1,1,-2,-1,1,2,-2,0,0.16
33,-1,0,-2,0,-1,-6,-1,0,0.165
34,-1,0,0,0,-1,0,-1,0,0.17
35,-1,0,-1,-1,-1,12,1,-1,0.175
36,1,-1,0,0,4,-2,0,0,0.18
37,1,0,0,0,5,2,-1,-1,0.185
38,0,2,-1,-2,-8,-6,-1,-1,0.19
39,0,-1,-1,-1,5,-6,-2,-1,0.195
40,1,0,-1,1,-9,0,-1,-3,0.2
41,-2,-1,-1,0,-1,-1,0,-2,0.205
42,-2,-1,0,-1,-1,-2,-1,-1,0.21
43,-2,-1,-1,-2,0,1,0,-1,0.215
44,0,-2,0,-2,-3,0,0,0,0.22
45,-1,-1,1,0,0,0,0,-1,0.225
46,0,-1,0,2,3,0,-1,-1,0.23
47,-1,-1,-2,-1,0,-1,1,0,0.235
48,0,-2,-1,-2,1,-3,1,-1,0.24
49,-1,0,-1,-3,-5,2,-1,0,0.245
50,0,0,-1,1,0,3,-1,-1,0.25
51,0,-2,-2,-2,-1,-5,-1,-1,0.255
