slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,4,3,4,0,7,7,5,5,0
1,-3,-4,-4,-6,-2,-3,-2,-3,0.005
2,-4,-5,-7,-10,-7,-6,-5,-4,0.01
3,0,0,-1,-3,0,-1,1,0,0.015
4,3,1,1,1,2,4,3,2,0.02
5,-2,-1,0,2,-1,-1,-1,0,0.025
6,-2,-2,-3,-6,-7,-6,-6,-4,0.03
7,-1,-2,-2,-2,-2,-4,-2,-1,0.035
8,4,3,3,4,6,4,4,2,0.04
9,0,2,-3,-20,-2,0,-1,2,0.045
10,-5,-3,2,23,-1,-5,-6,-4,0.05
11,-3,-1,-2,-5,-3,-1,-2,-2,0.055
12,3,2,3,5,3,2,3,2,0.06
13,-1,-1,1,1,-1,0,0,-1,0.065
14,-3,-3,-6,-14,-7,-4,-5,-4,0.07
15,0,-1,0,-2,1,-1,1,-1,0.075
16,1,1,1,-1,2,4,4,1,0.08
17,-3,-3,-2,4,-1,-2,-3,-2,0.085
18,-2,-2,-2,-4,-2,-3,-2,-2,0.09
19,2,1,1,2,2,1,-1,0,0.095
20,0,0,1,-1,0,0,0,0,0.1
21,-2,-1,-3,-15,-4,-2,-1,-2,0.105
22,-2,-3,0,16,0,-1,-2,-1,0.11
23,1,-1,-1,0,0,1,-1,1,0.115
24,-5,-6,-9,-11,-10,-9,-8,-8,0.12
25,-3,-3,-2,-1,-5,-4,-2,-4,0.125
26,3,2,2,2,3,3,4,1,0.13
27,3,2,2,2,2,4,3,3,0.135
28,-5,-3,-5,-9,-6,-6,-7,-4,0.14
29,-2,-3,-4,-5,-4,-4,-2,-3,0.145
30,0,1,0,2,1,0,0,-1,0.15
31,2,1,2,3,3,3,3,3,0.155
32,-4,-3,-3,-3,-9,-7,-5,-3,0.16
33,-4,-2,-5,-2,4,-4,-4,-4,0.165
34,1,0,2,2,1,2,3,2,0.17
35,0,-1,1,2,3,1,1,1,0.175
36,-3,-3,-7,-19,-4,-5,-4,-2,0.18
37,-1,-2,-1,14,-4,-4,-4,-1,0.185
38,1,-1,0,1,2,4,2,2,0.19
39,1,0,-1,-3,2,-1,2,0,0.195
40,-3,-3,-2,7,-4,-3,-4,-3,0.2
41,-3,0,-1,-6,-3,0,-2,-2,0.205
42,2,2,1,0,1,0,1,0,0.21
43,-1,-1,0,0,-2,-2,0,0,0.215
44,-2,-2,-3,-6,-2,-2,-1,-2,0.22
45,2,0,-2,-6,-2,-2,0,1,0.225
46,-1,0,1,3,0,2,1,2,0.23
47,1,0,-2,-11,-3,0,0,-1,0.235
48,-1,-2,4,19,1,-4,-1,-4,0.24
49,-2,-1,-3,-3,-2,-2,-3,1,0.245
50,-1,0,-1,-3,-1,0,-1,0,0.25
51,-1,-1,0,1,0,0,-1,-3,0.255
52,-3,0,-1,-5,-2,-1,-2,-2,0.26
53,-2,-2,0,-2,-3,-1,-2,-2,0.265
54,2,0,-3,-5,-1,-1,0,0,0.27
55,-3,0,1,1,-2,-1,-1,-2,0.275
56,0,-2,-3,-8,-6,-3,-2,-1,0.28
57,-1,-1,1,6,5,-2,-2,-2,0.285
58,0,0,0,2,1,1,-1,-1,0.29
59,-1,-2,-1,1,-1,-1,0,-1,0.295
60,-1,-1,0,2,0,0,1,-2,0.3
61,-1,0,-3,-15,-3,0,0,-1,0.305
62,-1,0,2,9,-1,-1,-1,-2,0.31
63,0,0,2,6,0,-1,-1,-2,0.315
64,-1,-1,-3,-7,-2,0,0,-2,0.32
65,0,-1,-1,-1,-4,0,1,-1,0.325
66,-1,-1,-2,-3,0,0,0,0,0.33
67,0,-1,-1,-3,-3,0,-1,0,0.335
68,0,-1,0,2,2,-1,0,0,0.34
69,0,-1,-1,-6,-2,-1,0,-1,0.345
