slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,6,6,7,22,8,5,6,6,0
1,-8,-6,-10,-6,-9,-9,-9,-9,0.005
2,-4,-3,-5,-7,-5,-4,-3,-4,0.01
3,1,1,2,0,3,2,3,3,0.015
4,3,4,4,6,6,5,5,4,0.02
5,-4,-4,-4,-7,-6,-6,-5,-4,0.025
6,-3,-4,-6,-4,-4,-4,-5,-5,0.03
7,2,2,-2,-6,1,2,2,2,0.035
8,3,4,4,0,3,3,3,3,0.04
9,-3,-4,-4,0,-4,-4,-4,-3,0.045
10,-6,-4,-4,-7,-6,-5,-6,-3,0.05
11,1,1,1,5,2,2,2,2,0.055
12,2,1,2,4,3,3,2,2,0.06
13,-5,-4,-4,-7,-7,-4,-5,-4,0.065
14,-2,-4,-3,-4,-3,-5,-2,-3,0.07
15,2,2,4,5,1,2,1,1,0.075
16,1,0,-1,-15,0,0,1,1,0.08
17,-3,-4,-1,12,-5,-2,-4,-4,0.085
18,-1,1,-1,5,0,-2,-1,-2,0.09
19,1,-1,0,1,1,2,0,0,0.095
20,-1,-1,0,5,-1,-1,1,-1,0.1
21,-1,-3,-5,-13,-3,-2,-1,-1,0.105
22,-1,-3,0,-1,-2,-2,0,0,0.11
23,-1,0,1,3,1,-1,1,-1,0.115
24,-5,-6,-7,-6,-6,-6,-6,-6,0.12
25,2,3,3,4,5,3,3,4,0.125
26,6,6,7,7,8,7,7,6,0.13
27,-6,-6,-5,-6,-7,-7,-7,-7,0.135
28,-3,-4,-4,-4,-6,-4,-5,-5,0.14
29,2,0,-1,-1,0,3,1,0,0.145
30,7,4,4,1,7,5,7,6,0.15
31,-3,-2,-3,7,-3,-4,-3,-5,0.155
32,-4,-4,-5,0,-4,-4,-5,-5,0.16
33,0,1,0,-1,-1,0,0,0,0.165
34,5,5,6,7,6,6,5,5,0.17
35,-3,-5,-6,-14,-5,-3,-5,-4,0.175
36,-6,-6,-4,-13,-4,-5,-4,-4,0.18
37,2,2,5,17,4,1,2,0,0.185
38,2,5,3,2,5,3,4,3,0.19
39,-5,-4,-5,-3,-5,-5,-4,-4,0.195
40,-3,-2,-4,-5,-4,-4,-4,-2,0.2
41,-1,0,2,0,2,0,1,0,0.205
42,2,2,1,-7,3,2,2,2,0.21
43,-1,-3,-2,14,-3,-3,-4,-4,0.215
44,-2,-4,-1,8,1,-2,-1,-4,0.22
45,-1,-2,-2,-4,0,-2,1,0,0.225
46,2,0,2,2,1,1,1,1,0.23
47,-2,-3,-4,-10,-3,-3,-3,-2,0.235
48,1,0,-3,-7,-3,-1,-1,-1,0.24
49,-2,0,-1,-8,-2,-2,-1,1,0.245
50,-2,0,1,14,1,1,2,-1,0.25
51,-2,-3,-4,-6,-3,-1,-1,-1,0.255
52,-1,1,0,2,-1,-1,-2,-1,0.26
53,0,-1,-1,-4,1,-2,0,-3,0.265
54,0,3,2,3,0,0,0,1,0.27
55,-3,0,-3,-3,-2,-1,-2,-3,0.275
56,-1,0,-1,-2,-2,-2,-3,-2,0.28
57,2,1,-2,-5,0,1,0,-1,0.285
58,-1,0,3,6,2,1,0,0,0.29
59,-2,-3,-2,-2,-2,-2,-1,-2,0.295
60,-1,0,1,7,-2,-1,-1,0,0.3
61,-1,-1,-1,2,-1,-1,0,-1,0.305
62,-1,0,-2,2,-1,-1,0,-1,0.31
63,-2,-1,-2,-11,-4,-2,-2,-1,0.315
64,0,-1,-1,-7,-4,-1,0,-1,0.32
65,0,-2,0,2,0,0,0,0,0.325
66,-1,-2,-2,2,-1,0,-1,-3,0.33
67,-1,0,1,1,-1,-2,-2,-1,0.335
68,-1,-1,-4,-7,-2,-3,0,0,0.34
69,-2,-1,0,4,-1,0,-1,-2,0.345
70,-1,0,-1,-6,-3,0,0,-1,0.35
71,-1,-3,-2,-5,-1,-2,-2,-1,0.355
72,0,-1,3,10,2,-1,-1,-1,0.36
73,-1,-1,-2,-17,-2,-1,0,-1,0.365
74,-1,-1,0,10,-1,-2,-2,-2,0.37
75,-3,-3,-1,1,-1,-1,-2,-2,0.375
76,-1,-1,-2,-4,-1,0,0,-1,0.38
77,0,0,-2,2,0,-1,0,0,0.385
78,-1,-2,-1,-8,-1,-1,-1,-1,0.39
79,0,-1,0,-6,-3,-2,-1,0,0.395
80,-1,0,-2,-2,-2,0,0,-1,0.4
81,-1,-1,-1,5,1,-1,-2,-2,0.405
82,-2,-1,-2,-1,-2,-2,-1,-1,0.41
83,0,-1,0,0,1,-1,0,-1,0.415
84,-2,-2,0,-7,-1,-1,-1,0,0.42
85,0,0,-1,2,0,0,-2,0,0.425
86,-2,-2,-2,-1,0,1,-1,1,0.43
87,0,-1,-1,-1,-1,0,-3,-1,0.435
88,-2,-1,-1,0,0,-1,-2,0,0.44
89,-1,1,-1,1,-1,-2,0,0,0.445
90,0,-2,-2,-4,0,0,0,0,0.45
91,0,1,1,8,0,1,-1,-3,0.455
92,0,0,-1,0,0,-1,0,-1,0.46
93,1,0,0,1,-1,0,-2,-1,0.465
94,-2,-2,-5,-6,-2,-1,-1,-2,0.47
95,-1,0,-2,-15,-1,-1,-1,0,0.475
96,1,-1,1,10,2,0,-1,0,0.48
97,-1,0,0,3,1,0,-2,-1,0.485
98,-1,1,-1,-10,-2,-1,-1,-1,0.49
99,-2,-2,0,10,0,-1,-1,-1,0.495
100,-1,0,-1,-6,-1,1,-1,0,0.5
101,-2,0,-2,-5,0,-1,-1,0,0.505
102,0,-1,-1,0,-1,-2,-2,-1,0.51
103,-2,-1,-1,4,-2,-2,-1,0,0.515
104,-1,-1,1,-2,-1,-1,0,-1,0.52
105,-1,-1,-2,2,-1,1,1,1,0.525
106,-1,-1,-2,-3,0,-1,-1,-2,0.53
107,-2,0,0,-2,0,-2,-1,1,0.535
108,0,-2,-1,-1,0,-1,-1,-1,0.54
109,0,-1,-2,-14,-2,-1,-1,-1,0.545
110,0,-3,1,18,0,-1,-2,-1,0.55
111,1,0,-2,-2,-2,0,-1,-3,0.555
112,1,0,-1,-1,1,1,0,-1,0.56
113,-3,-1,-2,-3,-1,-1,-1,-1,0.565
114,-2,-2,-2,-6,-3,-2,-3,-1,0.57
115,-2,-1,-3,-1,-2,-1,0,-1,0.575
116,0,1,1,0,0,-1,0,-1,0.58
117,-1,0,0,0,0,-1,0,-1,0.585
118,-1,-1,-1,-5,-3,-1,-1,-3,0.59
119,0,-2,1,11,-1,-2,-2,-2,0.595
120,-1,-1,-2,-5,-2,1,1,0,0.6
121,0,-2,-1,3,0,0,-1,-2,0.605
122,-2,-2,0,4,-1,-3,-2,0,0.61
123,0,0,0,-8,-1,-2,-1,1,0.615
124,0,0,-2,-4,0,-2,-1,-1,0.62
125,-1,1,3,15,-1,-1,-2,-1,0.625
126,-1,-1,-3,-5,0,-1,-1,-1,0.63
127,-2,-1,-3,-4,-1,-2,-2,-2,0.635
128,-1,0,-1,-6,0,0,0,0,0.64
129,-1,-1,-2,-5,-1,0,0,-1,0.645
130,-2,-2,-1,0,-2,-3,-2,-2,0.65
131,-1,-1,-2,-2,-2,0,1,-1,0.655
132,-1,-2,-1,1,-1,0,0,1,0.66
133,-1,-2,-2,-10,-2,-1,-1,-1,0.665
134,-1,0,0,11,1,-1,-2,-1,0.67
135,0,0,1,-2,0,-2,-2,-1,0.675
136,0,0,-3,-13,-2,-1,0,-2,0.68
137,-1,-3,1,21,1,-2,-1,-1,0.685
138,0,-1,-2,-8,-2,-1,-2,-2,0.69
139,1,-2,-3,-2,1,0,0,-1,0.695
140,0,0,0,2,1,-1,-2,-1,0.7
141,0,-1,-2,-9,-1,1,-1,0,0.705
142,-2,-1,-1,-5,-3,-2,-1,-2,0.71
143,-1,-1,-1,2,0,0,-1,-1,0.715
144,0,-1,0,-1,-1,0,-1,-2,0.72
145,0,2,2,-3,-1,0,0,0,0.725
146,-2,-4,-3,-1,-1,-2,-2,-2,0.73
147,-1,0,-3,-11,-1,0,-1,-1,0.735
148,0,1,1,12,1,-1,1,0,0.74
149,0,-2,0,2,-1,1,-1,-1,0.745
150,-2,-1,-1,-3,-2,-1,-2,-1,0.75
151,-2,-2,-2,-6,-4,-1,-2,-2,0.755
152,-1,-2,-2,-2,0,1,0,0,0.76
153,-1,-2,-1,1,1,0,-1,-2,0.765
154,0,0,-3,-5,-3,-1,-1,0,0.77
155,-2,-1,-1,-8,-2,-1,0,-1,0.775
156,1,-1,2,21,0,0,-1,1,0.78
157,0,1,0,-1,0,-1,1,-1,0.785
158,-2,-2,-1,-2,-2,0,-1,-2,0.79
159,-1,0,-2,-1,-2,0,-1,-1,0.795
160,-1,1,-2,-4,1,1,-2,0,0.8
161,0,0,-3,-3,0,-1,-2,1,0.805
162,-2,-2,-2,-3,-1,-1,0,-2,0.81
163,-1,-1,1,3,-2,-1,-1,-2,0.815
164,0,-2,-2,-5,-2,0,1,-1,0.82
165,1,-2,1,9,1,-1,0,-1,0.825
166,-1,-1,-2,-4,-2,-3,-2,0,0.83
167,0,0,1,3,0,-2,-1,-1,0.835
168,0,-2,-1,-2,-1,-1,0,-1,0.84
169,-1,0,0,-5,-1,-1,-1,0,0.845
170,-1,0,0,-1,-3,-2,0,-1,0.85
171,-1,-1,-1,3,-1,0,-1,0,0.855
172,0,1,0,-2,0,0,0,0,0.86
173,-1,0,-1,-2,-1,0,-1,-1,0.865
174,-1,-2,-2,-2,-2,-2,0,-1,0.87
175,-1,-2,-1,-12,1,-1,-1,0,0.875
176,0,-1,1,19,2,-2,0,0,0.88
177,-1,-1,-1,1,-2,-2,-1,0,0.885
178,-1,-2,-2,-1,-2,-2,-5,-2,0.89
179,0,0,-1,-2,-1,-1,0,0,0.895
180,0,0,0,-9,-2,0,0,0,0.9
181,-2,-1,-1,-8,-2,0,1,-1,0.905
182,-3,-1,1,11,-2,-1,-2,-2,0.91
183,-1,-1,-2,3,1,2,0,0,0.915
184,0,-1,0,-3,-2,0,-2,0,0.92
185,1,-2,-1,-3,-2,-1,2,-1,0.925
186,-3,-2,-5,-8,-2,-1,-2,-2,0.93
187,-2,0,-1,5,1,-1,-1,0,0.935
188,-1,0,0,-2,0,-2,1,-1,0.94
189,-1,0,-1,-6,-1,-1,-1,-1,0.945
190,-1,-1,1,11,-1,-2,-2,-2,0.95
191,2,0,0,4,-1,0,-1,-1,0.955
192,-1,0,-1,-1,2,0,1,1,0.96
193,-1,-2,-4,-5,0,0,-2,0,0.965
194,-2,-3,-2,-5,-2,-2,-2,-2,0.97
195,1,-1,1,2,0,-1,-1,-1,0.975
196,-1,0,-1,-5,-1,0,1,-1,0.98
197,0,-1,1,4,0,1,-2,-1,0.985
198,-3,-3,-2,-5,-3,-3,0,0,0.99
199,-1,-2,0,2,0,0,1,-1,0.995
200,0,0,0,-1,-2,0,-1,-3,1
201,-2,0,0,2,-1,0,-2,1,1.005
202,-1,-1,-2,-1,-4,-1,-2,0,1.01
203,-1,-1,-2,-3,-3,0,2,0,1.015
204,0,0,-1,0,-1,-2,0,1,1.02
205,-1,-2,0,2,0,-1,0,-1,1.025
206,-1,-2,-2,-8,-3,0,-1,-3,1.03
207,-1,0,2,2,-1,0,-1,0,1.035
208,0,-1,0,-6,-1,-1,0,-1,1.04
209,0,-1,3,14,0,-2,-2,-1,1.045
210,-1,-1,-1,-2,-1,-1,-1,-2,1.05
211,0,0,0,3,0,0,-1,-1,1.055
212,-2,-1,-1,-6,-2,-1,-1,-1,1.06
213,1,-1,0,-8,-1,1,0,-2,1.065
214,-2,0,-1,-3,-3,-3,-1,-2,1.07
215,0,-1,-3,-2,0,0,0,1,1.075
216,-1,-1,0,3,-1,0,0,-1,1.08
217,-1,-1,-3,-3,0,-2,-1,0,1.085
218,0,-1,-1,-4,-1,0,0,-1,1.09
219,0,0,0,-1,1,-2,0,-1,1.095
